userid,review,compound_score
1009,"The app is amazing, I planned my entire trip using it!",0.6239
1011,"Premium unlocks great features, definitely worth the upgrade.",0.8271
1015,"After the update, the app crashes at least once every session.",0.0
1018,Some premium features are not as useful as advertised.,-0.3412
1021,Issues with search button.,0.0
1022,Love sharing travel photos.,0.7906
1025,Easy to split expenses.,0.4404
1028,Keeps my trips organized.,0.0
1030,"The premium features are fantastic, especially for frequent travelers. Totally worth the extra cost.",0.6997
1034,I can finally keep track of my trip expenses without needing a separate app.,0.0
1037,"Not impressed with the update, app performance has declined noticeably.",-0.3724
1042,"I expected more from the premium subscription, not impressed.",-0.3724
1047,"I can't get past the payment step, please fix this!",0.3802
1049,"Great interface, but slow.",0.3716
1051,"Premium tools are a game changer, worth the price.",0.2263
1052,"Error messages keep popping up, very frustrating!",-0.7339
1053,Not too many ads compared to other apps.,0.0
1055,"The new premium tools are helpful, but the subscription is a bit overpriced.",0.2263
1058,"Minimal ads, they don't really bother me.",0.3078
1059,"Too many video ads, they waste my time.",-0.4215
1060,Needs more customization.,0.0
1063,Helpful but glitchy.,0.2263
1064,Flight bookings take time.,0.0
1065,"App runs smoothly after the update, no more crashes like before.",0.1477
1069,"The update really enhanced the user experience, it's much more intuitive now.",0.0
1070,Easy to plan trips.,0.4404
1071,"Search button is not working, can't find any destinations.",0.0
1073,The payment feature needs improvement. It fails when using international cards.,0.0516
1074,"All my travel plans in one app, finally! No more juggling multiple websites to keep track of my itinerary.",-0.3595
1077,Best for itinerary planning.,0.6369
1080,"The latest update fixed all the bugs, app works perfectly now!",0.6696
1081,"Premium features are good, but the price could be lower.",-0.2144
1086,"I can't get past the payment step, please fix this!",0.3802
1090,I'm having a hard time syncing the app with my Google Calendar.,-0.1027
1091,Flight alerts are helpful.,0.4215
1094,"The ads are way too intrusive, can't enjoy the app.",-0.3875
1099,"Ads are too frequent, makes the app frustrating.",-0.4404
1107,I love that it shows me alternate routes when my flight gets delayed.,0.5106
1118,"Terrible app, it crashes at the home screen!",-0.5255
1121,Perfect for group trips.,0.5719
1125,"The user interface is confusing, I can't figure out basic tasks.",-0.2263
1126,"I can see where my friends are, and their holiday photos inspire me to travel more!",0.8687
1132,"The new design looks great after the update, very clean interface.",0.796
1136,Helpful for trip organizing.,0.4215
1138,"Hate the update, it's full of bugs that need fixing ASAP.",-0.5719
1140,Can't add friends easily.,-0.5559
1147,"The user interface is confusing, I can't figure out basic tasks.",-0.2263
1150,Managing my travel expenses has never been this simple. Great app for keeping everything organized.,0.6249
1152,"Update is a step backward, app worked better before these changes.",0.4404
1153,"I like the new look of the app after the update, much better.",0.6597
